Posición,Selección,Código,Puntos Totales,Puntos Anteriores,Diferencia Puntos,Cambio Posición,Confederación
1,Francia,FRA,1877.32,1870.00,+7.32,"▲ +2",UEFA
2,España,ESP,1876.40,1877.18,-0.78,"▼ -1",UEFA
3,Argentina,ARG,1874.81,1873.33,+1.48,"▼ -1",CONMEBOL
4,Inglaterra,ENG,1825.97,1834.12,-8.15,"=",UEFA
5,Portugal,POR,1763.83,1760.38,+3.45,"▲ +1",UEFA
6,Brasil,BRA,1761.16,1760.46,+0.70,"▼ -1",CONMEBOL
7,Países Bajos,NED,1757.87,1756.27,+1.60,"=",UEFA
8,Marruecos,MAR,1755.87,1736.57,+19.30,"=",CAF
9,Bélgica,BEL,1734.71,1730.71,+4.00,"=",UEFA
10,Alemania,GER,1730.37,1724.15,+6.22,"=",UEFA
11,Croacia,CRO,1717.07,1716.88,+0.19,"=",UEFA
12,Italia,ITA,1700.37,1702.06,-1.69,"▲ +1",UEFA
13,Colombia,COL,1693.09,1701.30,-8.21,"▲ +1",CONMEBOL
14,Senegal,SEN,1688.99,1706.83,-17.84,"▼ -2",CAF
15,México,MEX,1681.03,1675.75,+5.28,"▲ +1",CONCACAF
16,EEUU,USA,1673.13,1681.88,-8.75,"▼ -1",CONCACAF
17,Uruguay,URU,1673.07,1672.62,+0.45,"=",CONMEBOL
18,Japón,JPN,1660.43,1650.12,+10.31,"▲ +1",AFC
19,Suiza,SUI,1649.40,1654.69,-5.29,"▼ -1",UEFA
20,Dinamarca,DEN,1620.81,1616.75,+4.06,"▲ +1",UEFA
21,RI de Irán,IRN,1615.30,1617.02,-1.72,"▼ -1",AFC
22,Turquía,TUR,1599.04,1582.69,+16.35,"▲ +3",UEFA
23,Ecuador,ECU,1594.78,1591.73,+3.05,"=",CONMEBOL
24,Austria,AUT,1593.45,1585.51,+7.94,"=",UEFA
25,República de Corea,KOR,1588.66,1599.45,-10.79,"▼ -3",AFC
26,Nigeria,NGA,1585.09,1581.55,+3.54,"=",CAF
27,Australia,AUS,1580.67,1574.01,+6.66,"=",AFC
28,Argelia,ALG,1564.26,1560.91,+3.35,"=",CAF
29,Egipto,EGY,1563.24,1556.71,+6.53,"▲ +2",CAF
30,Canadá,CAN,1556.48,1559.15,-2.67,"▼ -1",CONCACAF
31,Noruega,NOR,1550.94,1553.14,-2.20,"▲ +1",UEFA
32,Ucrania,UKR,1546.88,1557.47,-10.59,"▼ -2",UEFA
33,Panamá,PAN,1540.64,1539.47,+1.17,"=",CONCACAF
34,Costa de Marfil,CIV,1532.98,1522.48,+10.50,"▲ +3",CAF
35,Polonia,POL,1528.00,1532.04,-4.04,"▼ -1",UEFA
36,Rusia,RUS,1525.60,1524.52,+1.08,"=",UEFA
37,Gales,WAL,1524.29,1529.71,-5.42,"▼ -2",UEFA
38,Suecia,SWE,1514.77,1487.13,+27.64,"▲ +4",UEFA
39,Serbia,SRB,1508.65,1506.34,+2.31,"=",UEFA
40,Paraguay,PAR,1503.50,1501.50,+2.00,"=",CONMEBOL
41,Chequia,CZE,1501.38,1487.00,+14.38,"▲ +2",UEFA
42,Hungría,HUN,1500.58,1496.29,+4.29,"▼ -1",UEFA
43,Escocia,SCO,1498.35,1506.77,-8.42,"▼ -5",UEFA
44,Túnez,TUN,1483.05,1479.04,+4.01,"▲ +3",CAF
45,Camerún,CMR,1481.24,1482.39,-1.15,"=",CAF
46,RD del Congo,COD,1478.35,1468.22,+10.13,"▲ +2",CAF
47,Grecia,GRE,1475.82,1480.38,-4.56,"▼ -1",UEFA
48,Eslovaquia,SVK,1473.94,1485.65,-11.71,"▼ -4",UEFA
49,Venezuela,VEN,1468.05,1465.22,+2.83,"▲ +1",CONMEBOL
50,Uzbekistán,UZB,1465.34,1462.03,+3.31,"▲ +2",AFC
51,Costa Rica,CRC,1459.90,1464.24,-4.34,"=",CONCACAF
52,Mali,MLI,1459.13,1458.48,+0.65,"▲ +2",CAF
53,Perú,PER,1455.87,1459.57,-3.70,"=",CONMEBOL
54,Chile,CHI,1455.28,1457.84,-2.56,"▲ +1",CONMEBOL
55,Qatar,QAT,1454.96,1454.96,0.00,"▲ +1",AFC
56,Rumanía,ROU,1451.16,1465.78,-14.62,"▼ -7",UEFA
57,Irak,IRQ,1447.14,1436.94,+10.20,"▲ +1",AFC
58,Eslovenia,SVN,1446.44,1447.31,-0.87,"▼ -1",UEFA
59,República de Irlanda,IRL,1436.63,1436.04,+0.59,"=",UEFA
60,Sudáfrica,RSA,1429.73,1432.76,-3.03,"=",CAF
61,Arabia Saudí,KSA,1421.43,1429.48,-8.05,"=",AFC
62,Burkina Faso,BFA,1412.49,1412.79,-0.30,"=",CAF
63,Jordania,JOR,1391.45,1388.93,+2.52,"▲ +1",AFC
64,Albania,ALB,1388.06,1401.07,-13.01,"▼ -1",UEFA
65,Bosnia y Herzegovina,BIH,1385.84,1362.37,+23.47,"▲ +6",UEFA
66,Honduras,HON,1380.27,1379.54,+0.73,"▼ -1",CONCACAF
67,Macedonia del Norte,MKD,1372.04,1378.57,-6.53,"▼ -1",UEFA
68,Emiratos Árabes Unidos,UAE,1370.47,1370.47,0.00,"=",AFC
69,Cabo Verde,CPV,1366.13,1370.49,-4.36,"▼ -2",CAF
70,Irlanda del Norte,NIR,1362.16,1366.02,-3.86,"▼ -1",UEFA
71,Jamaica,JAM,1358.00,1362.46,-4.46,"▼ -1",CONCACAF
72,Georgia,GEO,1350.18,1347.88,+2.30,"▲ +1",UEFA
73,Finlandia,FIN,1346.41,1341.81,+4.60,"▲ +2",UEFA
74,Ghana,GHA,1346.31,1351.09,-4.78,"▼ -2",CAF
75,Islandia,ISL,1345.07,1344.72,+0.35,"▼ -1",UEFA
76,Bolivia,BOL,1329.42,1330.52,-1.10,"=",CONMEBOL
77,Israel,ISR,1328.33,1328.14,+0.19,"=",UEFA
78,Kosovo,KOS,1318.83,1308.84,+9.99,"▲ +1",UEFA
79,Omán,OMA,1313.46,1313.46,0.00,"▼ -1",AFC
80,Guinea,GUI,1300.01,1307.05,-7.04,"=",CAF
81,Montenegro,MNE,1295.52,1297.09,-1.57,"▲ +1",UEFA
82,Curazao,CUW,1294.65,1302.70,-8.05,"▼ -1",CONCACAF
83,Haití,HAI,1291.71,1294.49,-2.78,"=",CONCACAF
84,Siria,SYR,1288.56,1282.62,+5.94,"=",AFC
85,Nueva Zelanda,NZL,1281.57,1279.25,+2.32,"=",OFC
86,Bulgaria,BUL,1278.90,1272.19,+6.71,"▲ +1",UEFA
87,Gabón,GAB,1272.51,1276.28,-3.77,"▼ -1",CAF
88,Uganda,UGA,1264.09,1264.09,0.00,"=",CAF
89,Angola,ANG,1263.10,1263.10,0.00,"=",CAF
90,Benín,BEN,1258.98,1250.05,+8.93,"▲ +2",CAF
91,Baréin,BHR,1258.53,1258.53,0.00,"▼ -1",AFC
92,Zambia,ZAM,1255.82,1256.68,-0.86,"▼ -1",CAF
93,Tailandia,THA,1252.14,1243.27,+8.87,"▲ +3",AFC
94,RP China,CHN,1251.60,1249.06,+2.54,"▼ -1",AFC
95,Palestina,PLE,1244.73,1244.73,0.00,"=",AFC
96,Guatemala,GUA,1243.47,1245.77,-2.30,"▼ -2",CONCACAF
97,Bielorrusia,BLR,1235.82,1227.09,+8.73,"▲ +1",UEFA
98,Luxemburgo,LUX,1227.77,1218.91,+8.86,"▲ +4",UEFA
99,Vietnam,VIE,1225.68,1189.51,+36.17,"▲ +9",AFC
100,El Salvador,SLV,1225.26,1226.65,-1.39,"▼ -1",CONCACAF
101,Mozambique,MOZ,1224.31,1224.31,0.00,"=",CAF
102,Trinidad y Tobago,TRI,1222.94,1227.32,-4.38,"▼ -5",CONCACAF
103,Tayikistán,TJK,1221.78,1224.93,-3.15,"▼ -3",AFC
104,Madagascar,MAD,1203.76,1198.87,+4.89,"=",CAF
105,Guinea Ecuatorial,EQG,1195.20,1190.01,+5.19,"▲ +2",CAF
106,Armenia,ARM,1191.42,1196.08,-4.66,"▼ -1",UEFA
107,República Kirguisa,KGZ,1191.14,1201.22,-10.08,"▼ -4",AFC
108,Líbano,LBN,1187.96,1187.96,0.00,"▲ +1",AFC
109,Comoras,COM,1187.91,1193.49,-5.58,"▼ -3",CAF
110,Kazajstán,KAZ,1182.96,1173.00,+9.96,"▲ +4",UEFA
111,Kenia,KEN,1182.23,1179.54,+2.69,"▲ +2",CAF
112,Libia,LBY,1182.08,1183.06,-0.98,"=",CAF
113,Tanzania,TAN,1180.27,1186.14,-5.87,"▼ -3",CAF
114,Níger,NIG,1179.66,1185.09,-5.43,"▼ -3",CAF
115,Mauritania,MTN,1170.72,1171.35,-0.63,"=",CAF
116,Gambia,GAM,1160.38,1161.55,-1.17,"=",CAF
117,Sudán,SDN,1157.22,1157.22,0.00,"=",CAF
118,RDP de Corea,PRK,1151.05,1151.05,0.00,"▲ +1",AFC
119,Sierra Leona,SLE,1148.98,1149.10,-0.12,"▲ +1",CAF
120,Namibia,NAM,1148.84,1153.22,-4.38,"▼ -2",CAF
121,Togo,TOG,1147.31,1140.35,+6.96,"▲ +3",CAF
122,Indonesia,IDN,1144.88,1144.73,+0.15,"=",AFC
123,Islas Feroe,FRO,1137.14,1135.42,+1.72,"▲ +2",UEFA
124,Azerbaiyán,AZE,1136.67,1132.97,+3.70,"▲ +3",UEFA
125,Surinam,SUR,1132.43,1140.54,-8.11,"▼ -2",CONCACAF
126,Chipre,CYP,1128.33,1128.50,-0.17,"▲ +2",UEFA
127,Malaui,MWI,1128.03,1133.75,-5.72,"▼ -1",CAF
128,Ruanda,RWA,1126.62,1117.78,+8.84,"▲ +2",CAF
129,Estonia,EST,1121.10,1123.11,-2.01,"=",UEFA
130,Zimbabue,ZIM,1118.12,1113.61,+4.51,"▲ +2",CAF
131,Nicaragua,NCA,1115.13,1116.86,-1.73,"=",CONCACAF
132,Guinea-Bissáu,GNB,1108.38,1108.09,+0.29,"▲ +1",CAF
133,Congo,CGO,1105.96,1105.96,0.00,"▲ +1",CAF
134,Kuwait,KUW,1105.10,1105.10,0.00,"▲ +1",AFC
135,Filipinas,PHI,1094.10,1090.95,+3.15,"▲ +1",AFC
136,India,IND,1091.03,1079.52,+11.51,"▲ +5",AFC
137,Letonia,LVA,1090.57,1082.68,+7.89,"▲ +2",UEFA
138,Malasia,MAS,1086.22,1145.89,-59.67,"▼ -17",AFC
139,República Centroafricana,CTA,1083.57,1083.57,0.00,"▼ -1",CAF
140,Liberia,LBR,1079.02,1081.46,-2.44,"=",CAF
141,Turkmenistán,TKM,1078.65,1087.52,-8.87,"▼ -4",AFC
142,Burundi,BDI,1078.01,1060.22,+17.79,"▲ +3",CAF
143,República Dominicana,DOM,1077.95,1077.49,+0.46,"▼ -1",CONCACAF
144,Etiopía,ETH,1071.55,1055.36,+16.19,"▲ +3",CAF
145,Lesoto,LES,1067.13,1065.97,+1.16,"▼ -2",CAF
146,Botsuana,BOT,1063.63,1062.42,+1.21,"▼ -2",CAF
147,Singapur,SGP,1059.53,1050.35,+9.18,"▲ +1",AFC
148,Lituania,LTU,1058.42,1056.34,+2.08,"▼ -2",UEFA
149,Yemen,YEM,1049.49,1049.49,0.00,"=",AFC
150,Guyana,GUY,1049.32,1041.90,+7.42,"▲ +1",CONCACAF
151,Nueva Caledonia,NCL,1036.95,1042.62,-5.67,"▼ -1",OFC
152,San Cristóbal y Nieves,SKN,1036.33,1035.25,+1.08,"▲ +2",CONCACAF
153,Islas Salomón,SOL,1031.89,1039.86,-7.97,"▼ -1",OFC
154,Fiyi,FIJ,1029.70,1029.70,0.00,"▲ +1",OFC
155,"Hong Kong, China",HKG,1026.63,1038.14,-11.51,"▼ -2",AFC
156,Puerto Rico,PUR,1026.11,1020.07,+6.04,"=",CONCACAF
157,Tahití,TAH,1019.04,1019.04,0.00,"=",OFC
158,Myanmar,MYA,1011.88,990.81,+21.07,"▲ +5",AFC
159,Moldavia,MDA,1004.16,1012.64,-8.48,"▼ -1",UEFA
160,Vanuatu,VAN,997.01,997.01,0.00,"=",OFC
161,Malta,MLT,987.73,996.59,-8.86,"=",UEFA
162,Antigua y Barbuda,ATG,986.58,986.58,0.00,"▲ +3",CONCACAF
163,Granada,GRN,982.57,989.59,-7.02,"▲ +1",CONCACAF
164,Cuba,CUB,981.42,980.49,+0.93,"▲ +2",CONCACAF
165,Esuatini,SWZ,979.01,1010.52,-31.51,"▼ -6",CAF
166,Bermudas,BER,976.87,976.87,0.00,"▲ +3",CONCACAF
167,Santa Lucía,LCA,976.71,980.28,-3.57,"=",CONCACAF
168,Papúa Nueva Guinea,PNG,974.90,974.90,0.00,"▲ +2",OFC
169,Afganistán,AFG,972.75,991.19,-18.44,"▼ -7",AFC
170,Sudán del Sur,SSD,970.94,977.50,-6.56,"▼ -2",CAF
171,San Vicente y las Granadinas,VIN,968.27,963.74,+4.53,"=",CONCACAF
172,Maldivas,MDV,954.93,945.02,+9.91,"▲ +1",AFC
173,Andorra,AND,945.34,949.44,-4.10,"▼ -1",UEFA
174,Chinese Taipei,TPE,923.78,938.21,-14.43,"=",AFC
175,Montserrat,MSR,916.75,916.75,0.00,"=",CONCACAF
176,Nepal,NEP,914.54,902.52,+12.02,"▲ +6",AFC
177,Camboya,CAM,911.54,911.54,0.00,"▲ +2",AFC
178,Mauricio,MRI,911.49,915.51,-4.02,"▼ -2",CAF
179,Barbados,BRB,909.89,914.42,-4.53,"▼ -1",CONCACAF
180,Belice,BLZ,907.00,910.74,-3.74,"▲ +1",CONCACAF
181,Bangladesh,BAN,899.53,911.10,-11.57,"▼ -1",AFC
182,Dominica,DMA,897.69,901.37,-3.68,"▲ +1",CONCACAF
183,Chad,CHA,896.85,914.65,-17.80,"▼ -6",CAF
184,Eritrea,ERI,887.06,0.00,+887.06,"▼ -184",CAF
185,Laos,LAO,885.03,871.16,+13.87,"▲ +5",AFC
186,Bután,BHU,880.55,867.86,+12.69,"▲ +6",AFC
187,Mongolia,MNG,879.75,879.75,0.00,"▼ -2",AFC
188,Islas Cook,COK,877.53,877.53,0.00,"▼ -2",OFC
189,Aruba,ARU,877.30,867.94,+9.36,"▲ +2",CONCACAF
190,Samoa,SAM,876.41,876.41,0.00,"▼ -3",OFC
191,Sri Lanka,SRI,871.82,857.40,+14.42,"▲ +3",AFC
192,Samoa Estadounidense,ASA,871.61,883.17,-11.56,"▼ -8",OFC
193,Brunéi Darussalam,BRU,863.09,875.78,-12.69,"▼ -5",AFC
194,Macao,MAC,858.03,865.29,-7.26,"▼ -1",AFC
195,Islas Caimán,CAY,855.45,851.74,+3.71,"=",CONCACAF
196,Santo Tomé y Príncipe,STP,855.44,871.63,-16.19,"▼ -7",CAF
197,Yibuti,DJI,853.58,847.03,+6.55,"▼ -1",CAF
198,Somalia,SOM,839.17,828.90,+10.27,"▲ +2",CAF
199,Tonga,TGA,835.64,835.64,0.00,"▼ -2",OFC
200,Timor Oriental,TLS,825.64,835.55,-9.91,"▼ -2",AFC
201,Guam,GUM,825.43,823.08,+2.35,"=",AFC
202,Pakistán,PAK,824.60,833.16,-8.56,"▼ -3",AFC
203,Gibraltar,GIB,810.14,818.03,-7.89,"▼ -1",UEFA
204,Seychelles,SEY,804.16,805.33,-1.17,"▼ -1",CAF
205,Turcas y Caicos,TCA,803.98,803.98,0.00,"▼ -1",CONCACAF
206,Liechtenstein,LIE,803.57,799.80,+3.77,"▼ -1",UEFA
207,Bahamas,BAH,786.82,796.60,-9.78,"▼ -1",CONCACAF
208,Islas Vírgenes Británicas,VGB,782.14,776.54,+5.60,"=",CONCACAF
209,Islas Vírgenes Estadounidenses,VIR,779.76,776.60,+3.16,"▼ -2",CONCACAF
210,Anguila,AIA,760.25,759.78,+0.47,"▼ -1",CONCACAF
211,San Marino,SMR,726.33,726.03,+0.30,"▼ -1",UEFA
